sentiment,random_seed,accuracy
optimism,13,0.8583863973617554
pride,13,0.800000011920929
realization,13,0.7283464670181274
relief,13,0.6388888955116272
remorse,13,0.963235318660736
sadness,13,0.7786458730697632
surprise,13,0.92578125
admiration,15,0.899489164352417
amusement,15,0.9267786145210266
anger,15,0.8587919473648071
annoyance,15,0.7722461819648743
approval,15,0.7730618715286255
caring,15,0.9153125286102296
confusion,15,0.869140625
curiosity,15,0.907812476158142
desire,15,0.8766233921051025
disappointment,15,0.7209821343421936
disapproval,15,0.7504339814186096
disgust,15,0.8865979313850403
embarrassment,15,0.8714285492897034
excitement,15,0.859375
fear,15,0.9333333373069764
gratitude,15,0.9664011001586914
grief,15,0.7692307829856873
joy,15,0.8986150622367859
love,15,0.9582912921905518
nervousness,15,0.8571428656578064
optimism,15,0.8493200540542603
pride,15,0.8999999761581421
realization,15,0.6417322754859924
relief,15,0.6111111044883728
remorse,15,0.963235318660736
sadness,15,0.9130208492279052
surprise,15,0.939453125
admiration,17,0.9026442170143129
amusement,17,0.9573914408683776
anger,17,0.8438665866851807
annoyance,17,0.7651540637016296
approval,17,0.748948335647583
caring,17,0.8492187261581421
confusion,17,0.865234375
curiosity,17,0.9102864265441896
desire,17,0.8376623392105103
disappointment,17,0.789843738079071
disapproval,17,0.7620081305503845
disgust,17,0.8969072103500366
embarrassment,17,0.8857142925262451
excitement,17,0.8229166865348816
fear,17,0.905555546283722
gratitude,17,0.963490664958954
grief,17,0.7307692170143127
joy,17,0.8805042505264282
love,17,0.958228349685669
nervousness,17,0.6428571343421936
optimism,17,0.8411217331886292
pride,17,0.7666666507720947
realization,17,0.6929134130477905
relief,17,0.7222222089767456
remorse,17,0.9485294222831726
sadness,17,0.9227864742279052
surprise,17,0.927734375
admiration,19,0.896409273147583
amusement,19,0.9258366227149963
anger,19,0.8245102167129517
annoyance,19,0.7968473434448242
approval,19,0.766526460647583
caring,19,0.850390613079071
confusion,19,0.8229166269302368
curiosity,19,0.9223958253860474
desire,19,0.8961039185523987
disappointment,19,0.7223213911056519
disapproval,19,0.7482638955116272
disgust,19,0.8917526006698608
embarrassment,19,0.7714285850524902
excitement,19,0.8854166865348816
fear,19,0.9166666865348816
gratitude,19,0.9686989784240723
grief,19,0.9615384340286255
joy,19,0.8696732521057129
love,19,0.9701360464096069
nervousness,19,0.8809523582458496
optimism,19,0.8695987462997437
pride,19,0.9333333373069763
realization,19,0.7007874250411987
relief,19,0.8333333134651184
remorse,19,0.9558823704719543
sadness,19,0.7963541746139526
surprise,19,0.939453125
admiration,42,0.896484375
amusement,42,0.9344525337219238
anger,42,0.8383570313453674
annoyance,42,0.7856271862983704
approval,42,0.6908053159713745
caring,42,0.9014062881469728
confusion,42,0.7591146230697632
curiosity,42,0.8962239623069763
desire,42,0.8961039185523987
disappointment,42,0.707812488079071
disapproval,42,0.7554976940155029
disgust,42,0.8247422575950623
embarrassment,42,0.6142857074737549
excitement,42,0.8229166865348816
fear,42,0.8777777552604675
gratitude,42,0.9736008644104004
grief,42,0.5769230723381042
joy,42,0.8235085010528564
love,42,0.9520539045333862
nervousness,42,0.5952380895614624
optimism,42,0.8634259700775146
pride,42,0.5666666626930237
realization,42,0.5708661675453186
relief,42,0.6111111044883728
remorse,42,0.8897058963775635
sadness,42,0.707812488079071
surprise,42,0.734375
admiration,100,0.889573335647583
amusement,100,0.953263521194458
anger,100,0.8319729566574097
annoyance,100,0.7783965468406677
approval,100,0.7238581776618958
caring,100,0.910937488079071
confusion,100,0.8815103769302368
curiosity,100,0.8927083015441895
desire,100,0.8766233921051025
disappointment,100,0.67578125
disapproval,100,0.7410300374031067
disgust,100,0.6391752362251282
embarrassment,100,0.5857142806053162
excitement,100,0.8385416865348816
fear,100,0.5777778029441833
gratitude,100,0.9624948501586914
grief,100,0.6153846383094788
joy,100,0.8900923728942871
love,100,0.9100302457809448
nervousness,100,0.5952380895614624
optimism,100,0.8460407257080078
pride,100,0.8333333134651184
realization,100,0.6141732335090637
relief,100,0.5833333134651184
remorse,100,0.6102941036224365
sadness,100,0.7079427242279053
surprise,100,0.826171875
